Sample ID,Index.AO,all_data,Latitude,Longitude,Depth,Date.Collection,PlotCreated,Type,Dry.weight,ResinP,pH,Total.C,Total.N,Total.P,DOC,DON,DOC_DON,NH4,NO3,TDN,DIN,Al,Ca,Fe,K,Mg,Mn,P,Zn,Ca_Mg,S,MAT,MAP,Aridity_Index,NPP,OrganicMatter
Alb_0202,94,yes,8.97661,-79.5642,0-10 cm,24-Jul-17,Albrook,plot,0.74,3.48,3.91,2.3,0.14,488,360,17.3,21,0.89,1.44,19.64,2.34,888.3,4,136,15.5,7.5,0.4,1.7,0.7,0.3,0.3,27,1864,1.23,0.38,11.82
Alb_0204,95,yes,8.97661,-79.5642,0-10 cm,24-Jul-17,Albrook,plot,0.77,5.69,4.13,4.71,0.31,536,350,20.19,17,0.45,2.84,23.49,3.29,1038.9,17,312.4,23.6,10.8,1.1,2,0.6,1,0.5,27,1864,1.23,0.38,14
Alb_0303,97,yes,8.97661,-79.5642,0-10 cm,24-Jul-17,Albrook,plot,0.71,3.16,3.85,5.09,0.3,313,312,21.61,14,4.6,3.15,29.36,7.75,910.7,8.4,367.6,16.6,11.1,1,2.6,1.4,0.5,0.3,27,1864,1.23,0.38,13.05
Alb_0402,99,yes,8.97661,-79.5642,0-10 cm,24-Jul-17,Albrook,plot,0.73,2.77,4.17,6.08,0.4,362,322,24.77,13,2.91,3.14,30.83,6.05,994.5,24.2,340.2,47.9,25.4,3.4,2.9,1.8,0.6,0.4,27,1864,1.23,0.38,15.6
Alb_0404,100,yes,8.97661,-79.5642,0-10 cm,24-Jul-17,Albrook,plot,0.72,2.35,4.01,5.54,0.38,414,230,18.41,12,2.47,4.51,25.39,6.97,814.6,41.3,378.3,34.6,18.8,3.2,4.8,1.5,1.3,0.4,27,1864,1.23,0.38,13.43
B1_0202,785,yes,9.152091,-79.849108,0-10 cm,11-Dec-17,B1,plot,0.63,4.41,6.24,5.39,0.53,820.77,104.65,10.37,10.1,3.27,3.57,17.2,6.84,2119.5,2785.1,169.8,93.9,301.6,340.7,3.6,2.3,5.6,5.9,25.9,2635,1.87,0.54,21.83
B1_0204,786,yes,9.152091,-79.849108,0-10 cm,11-Dec-17,B1,plot,0.62,4,7.05,4.49,0.43,787.93,138.47,14.46,9.6,3.51,2.17,20.14,5.68,2797.9,2032.9,197.4,49.6,160.7,352.8,3.6,2.6,7.7,3.6,25.9,2635,1.87,0.54,19.72
B1_0303,788,yes,9.152091,-79.849108,0-10 cm,11-Dec-17,B1,plot,0.6,3.33,6.69,4.38,0.46,852.79,191.94,20.13,9.5,2.05,3.16,25.34,5.21,3136.7,849.8,246,146,162.8,300.3,5.1,5.2,3.2,3.8,25.9,2635,1.87,0.54,20.01
B1_0402,790,yes,9.152091,-79.849108,0-10 cm,11-Dec-17,B1,plot,0.56,2.31,5.62,4.19,0.46,876.1,95.61,10.78,8.9,2.47,1.96,15.21,4.43,2582.6,1686.6,165.7,67.3,161.9,421.7,2.7,3.5,6.3,4.2,25.9,2635,1.87,0.54,18.83
B1_0404,791,yes,9.152091,-79.849108,0-10 cm,11-Dec-17,B1,plot,0.55,2.83,6.68,4.33,0.49,876.07,79.06,8.84,8.9,2.5,2.29,13.62,4.78,2755.1,1906.1,158.2,59.2,169.6,424.4,3.3,3.8,6.8,4.1,25.9,2635,1.87,0.54,20.49
B3_0202,772,yes,9.149386,-79.851846,0-10 cm,13-Dec-17,B3,plot,0.37,12.79,6.25,2.52,0.27,475.1603469,160.5156907,17.22795612,9.3,1.003821709,1.66827309,19.90005092,2.672094799,888.1,903.7,117.2,41.7,187,340,0.9,2.4,2.9,3.1,26.2,2566,1.83,0.54,16.17664666
